word;Economy;Sport;Hospitals;General statistics;Restrictions;Vaccine research;Mental health;Schools;Global politics;General politics;Global statistics;Vaccine politics
virus;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
infected;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
infection;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
work;1;1;1;1;1;1;1;1;1;1;1;1
infections;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
crisis;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
positive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
well;1;1;1;1;1;1;1;1;1;1;1;1
epidemic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
emergency;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
like;1;1;1;1;1;1;1;1;1;1;1;1
risk;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
support;1;1;1;1;1;1;1;1;1;1;1;1
important;1;1;1;1;1;1;1;1;1;1;1;1
died;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
good;1;1;1;1;1;1;1;1;1;1;1;1
isolation;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
symptoms;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
right;1;1;1;1;1;1;1;1;1;1;1;1
great;1;1;1;1;1;1;1;1;1;1;1;1
difficult;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
protection;1;1;1;1;1;1;1;1;1;1;1;1
available;1;1;1;1;1;1;1;1;1;1;1;1
trump;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
death;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
clear;1;1;1;1;1;1;1;1;1;1;1;1
outbreak;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
better;1;1;1;1;1;1;1;1;1;1;1;1
free;1;1;1;1;1;1;1;1;1;1;1;1
negative;1;1;1;1;1;1;1;1;1;1;1;1
enough;1;1;1;1;1;1;1;1;1;1;1;1
best;1;1;1;1;1;1;1;1;1;1;1;1
patient;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
protective;1;1;1;1;1;1;1;1;1;1;1;1
problems;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
problem;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
protect;1;1;1;1;1;1;1;1;1;1;1;1
recovery;1;1;1;1;1;1;1;1;1;1;1;1
sick;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ready;1;1;1;1;1;1;1;1;1;1;1;1
fear;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lost;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
limited;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
safe;1;1;1;1;1;1;1;1;1;1;1;1
limit;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lack;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
warned;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
significant;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
strong;1;1;1;1;1;1;1;1;1;1;1;1
effective;1;1;1;1;1;1;1;1;1;1;1;1
led;1;1;1;1;1;1;1;1;1;1;1;1
hard;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
issue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
works;1;1;1;1;1;1;1;1;1;1;1;1
severe;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
top;1;1;1;1;1;1;1;1;1;1;1;1
strict;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
concern;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
dead;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
recommendations;1;1;1;1;1;1;1;1;1;1;1;1
lead;1;1;1;1;1;1;1;1;1;1;1;1
respect;1;1;1;1;1;1;1;1;1;1;1;1
fall;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
worst;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
bad;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
worked;1;1;1;1;1;1;1;1;1;1;1;1
fell;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
opposition;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
decline;-1;NA;NA;-1;NA;NA;NA;NA;NA;NA;-1;NA
positives;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
isolated;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
recommended;1;1;1;1;1;1;1;1;1;1;1;1
risks;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
guarantee;1;1;1;1;1;1;1;1;1;1;1;1
concerns;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
critical;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
solidarity;1;1;1;1;1;1;1;1;1;1;1;1
vulnerable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
toll;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fever;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
break;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
concerned;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
extraordinary;1;1;1;1;1;1;1;1;1;1;1;1
issues;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
unfortunately;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fine;1;1;1;1;1;1;1;1;1;1;1;1
worse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
debt;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
dangerous;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
loss;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
vice;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
threat;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
easy;1;1;1;1;1;1;1;1;1;1;1;1
won;1;1;1;1;1;1;1;1;1;1;1;1
benefit;1;1;1;1;1;1;1;1;1;1;1;1
freedom;1;1;1;1;1;1;1;1;1;1;1;1
alarm;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
advantage;1;1;1;1;1;1;1;1;1;1;1;1
damage;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
fans;1;1;1;1;1;1;1;1;1;1;1;1
happy;1;1;1;1;1;1;1;1;1;1;1;1
appeal;1;1;1;1;1;1;1;1;1;1;1;1
illness;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
difficulties;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
urgent;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
healthy;1;1;1;1;1;1;1;1;1;1;1;1
benefits;1;1;1;1;1;1;1;1;1;1;1;1
clearly;1;1;1;1;1;1;1;1;1;1;1;1
die;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
slow;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
worried;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
afraid;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
danger;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
worth;1;1;1;1;1;1;1;1;1;1;1;1
dedicated;1;1;1;1;1;1;1;1;1;1;1;1
leading;1;1;1;1;1;1;1;1;1;1;1;1
precisely;1;1;1;1;1;1;1;1;1;1;1;1
exceeded;NA;-1;-1;NA;-1;-1;-1;-1;-1;-1;NA;-1
prison;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
impossible;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
trust;1;1;1;1;1;1;1;1;1;1;1;1
supported;1;1;1;1;1;1;1;1;1;1;1;1
love;1;1;1;1;1;1;1;1;1;1;1;1
killed;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
suffering;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
false;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
approval;1;1;1;1;1;1;1;1;1;1;1;1
favor;1;1;1;1;1;1;1;1;1;1;1;1
wrong;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
warning;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
lose;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
popular;1;1;1;1;1;1;1;1;1;1;1;1
recommendation;1;1;1;1;1;1;1;1;1;1;1;1
difficulty;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
success;1;1;1;1;1;1;1;1;1;1;1;1
sufficient;1;1;1;1;1;1;1;1;1;1;1;1
appropriate;1;1;1;1;1;1;1;1;1;1;1;1
premier;1;1;1;1;1;1;1;1;1;1;1;1
poor;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
criticized;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
win;1;1;1;1;1;1;1;1;1;1;1;1
criticism;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
confidence;1;1;1;1;1;1;1;1;1;1;1;1
suffered;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
attack;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
victory;1;1;1;1;1;1;1;1;1;1;1;1
fears;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
progress;1;1;1;1;1;1;1;1;1;1;1;1
losses;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
stable;1;1;1;1;1;1;1;1;1;1;1;1
isolate;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
loved;1;1;1;1;1;1;1;1;1;1;1;1
restrictive;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
autonomous;1;1;1;1;1;1;1;1;1;1;1;1
easing;1;1;1;1;1;1;1;1;1;1;1;1
cold;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
recover;1;1;1;1;1;1;1;1;1;1;1;1
exceptional;1;1;1;1;1;1;1;1;1;1;1;1
promised;1;1;1;1;1;1;1;1;1;1;1;1
protests;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
faster;1;1;1;1;1;1;1;1;1;1;1;1
successful;1;1;1;1;1;1;1;1;1;1;1;1
complicated;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
effectiveness;1;1;1;1;1;1;1;1;1;1;1;1
improve;1;1;1;1;1;1;1;1;1;1;1;1
fast;1;1;1;1;1;1;1;1;1;1;1;1
fallen;-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
useful;1;1;1;1;1;1;1;1;1;1;1;1
complex;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
chronic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
worrying;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
regard;1;1;1;1;1;1;1;1;1;1;1;1
protest;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
commitment;1;1;1;1;1;1;1;1;1;1;1;1
famous;1;1;1;1;1;1;1;1;1;1;1;1
thank;1;1;1;1;1;1;1;1;1;1;1;1
collapse;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
