number;word;n;sentiment;my_sentiment;my_sentiment_2;change
1;virus;136748;-1;-1;-1;IGAZ
2;infected;118829;-1;-1;-1;IGAZ
3;infection;110362;-1;-1;-1;IGAZ
5;infections;86528;-1;-1;-1;IGAZ
6;crisis;83755;-1;-1;-1;IGAZ
9;epidemic;73320;-1;-1;-1;IGAZ
10;emergency;71651;-1;-1;-1;IGAZ
12;risk;61914;-1;-1;-1;IGAZ
15;died;51077;-1;-1;-1;IGAZ
17;isolation;41493;-1;-1;-1;IGAZ
18;symptoms;39450;-1;-1;-1;IGAZ
21;difficult;36508;-1;-1;-1;IGAZ
25;death;29501;-1;-1;-1;IGAZ
27;outbreak;27294;-1;-1;-1;IGAZ
7;positive;80778;1;-1;-1;HAMIS
35;problems;22052;-1;-1;-1;IGAZ
36;problem;21836;-1;-1;-1;IGAZ
39;sick;17725;-1;-1;-1;IGAZ
41;fear;17031;-1;-1;-1;IGAZ
42;lost;16768;-1;-1;-1;IGAZ
43;limited;16272;-1;-1;-1;IGAZ
45;limit;15843;-1;-1;-1;IGAZ
46;lack;15598;-1;-1;-1;IGAZ
47;warned;15589;-1;-1;-1;IGAZ
52;hard;14160;-1;-1;-1;IGAZ
53;issue;14148;-1;-1;-1;IGAZ
55;severe;13707;-1;-1;-1;IGAZ
57;strict;13144;-1;-1;-1;IGAZ
58;concern;13080;-1;-1;-1;IGAZ
59;dead;13066;-1;-1;-1;IGAZ
24;trump;29681;1;NA;NA;HAMIS
65;worst;11380;-1;-1;-1;IGAZ
66;bad;11224;-1;-1;-1;IGAZ
30;negative;25899;-1;1;1;HAMIS
69;opposition;10904;-1;-1;-1;IGAZ
33;patient;22501;1;-1;-1;HAMIS
72;isolated;10676;-1;-1;-1;IGAZ
74;risks;10061;-1;-1;-1;IGAZ
76;concerns;9965;-1;-1;-1;IGAZ
77;critical;9941;-1;-1;-1;IGAZ
79;vulnerable;9664;-1;-1;-1;IGAZ
80;toll;9583;-1;-1;-1;IGAZ
81;fever;9530;-1;-1;-1;IGAZ
82;break;9297;-1;-1;-1;IGAZ
83;concerned;9256;-1;-1;-1;IGAZ
85;issues;9175;-1;-1;-1;IGAZ
86;unfortunately;8966;-1;-1;-1;IGAZ
88;worse;8685;-1;-1;-1;IGAZ
89;debt;8678;-1;-1;-1;IGAZ
90;dangerous;8633;-1;-1;-1;IGAZ
