"","topic","word","n"
"1",1,"abnormal",0
"2",1,"abolish",100
"3",1,"abominable",0
"4",1,"abomination",0
"5",1,"abort",0
"6",1,"aborted",0
"7",1,"abound",100
"8",1,"abounds",0
"9",1,"abrasive",0
"10",1,"abrupt",200
"11",1,"abruptly",300
"12",1,"abscond",0
"13",1,"absence",800
"14",1,"absentee",0
"15",1,"absurd",200
"16",1,"absurdity",100
"17",1,"absurdly",0
"18",1,"absurdness",0
"19",1,"abundance",300
"20",1,"abundant",100
"21",1,"abuse",200
"22",1,"abused",0
"23",1,"abuses",0
"24",1,"abusive",100
"25",1,"abysmal",0
"26",1,"abysmally",0
"27",1,"abyss",0
"28",1,"accessible",0
"29",1,"accidental",0
"30",1,"acclaim",100
"31",1,"acclaimed",0
"32",1,"acclamation",0
"33",1,"accolade",0
"34",1,"accolades",0
"35",1,"accommodative",0
"36",1,"accomplish",0
"37",1,"accomplished",0
"38",1,"accomplishment",0
"39",1,"accomplishments",0
"40",1,"accost",0
"41",1,"accurate",600
"42",1,"accurately",0
"43",1,"accursed",0
"44",1,"accusation",100
"45",1,"accusations",300
"46",1,"accuse",200
"47",1,"accuses",0
"48",1,"accusing",0
"49",1,"accusingly",0
"50",1,"acerbic",0
"51",1,"ache",200
"52",1,"ached",0
"53",1,"aches",0
"54",1,"achey",0
"55",1,"achievable",0
"56",1,"achievement",300
"57",1,"achievements",0
"58",1,"aching",0
"59",1,"acrid",0
"60",1,"acrimonious",0
"61",1,"acrimoniously",0
"62",1,"acrimony",0
"63",1,"acumen",0
"64",1,"adamant",0
"65",1,"adamantly",0
"66",1,"adaptable",0
"67",1,"adaptive",0
"68",1,"addict",0
"69",1,"addicted",0
"70",1,"addicting",0
"71",1,"addicts",0
"72",1,"adequate",600
"73",1,"adjustable",0
"74",1,"admirable",0
"75",1,"admirably",0
"76",1,"admiration",0
"77",1,"admire",0
"78",1,"admirer",0
"79",1,"admiring",0
"80",1,"admiringly",0
"81",1,"admonish",0
"82",1,"admonisher",0
"83",1,"admonishment",0
"84",1,"admonition",0
"85",1,"adorable",0
"86",1,"adore",0
"87",1,"adored",0
"88",1,"adoring",0
"89",1,"adroit",0
"90",1,"adroitly",0
"91",1,"adulation",0
"92",1,"adulterated",0
"93",1,"adulteration",0
"94",1,"advanced",700
"95",1,"advantage",500
"96",1,"advantageous",0
"97",1,"advantageously",0
"98",1,"advantages",200
"99",1,"adventurous",0
"100",1,"adversarial",0
"101",1,"adversary",0
"102",1,"adverse",0
"103",1,"adversity",100
"104",1,"advocate",0
"105",1,"advocated",0
"106",1,"advocates",0
"107",1,"affability",0
"108",1,"affable",0
"109",1,"affably",0
"110",1,"affectation",0
"111",1,"affection",100
"112",1,"affectionate",0
"113",1,"affinity",100
"114",1,"affirm",0
"115",1,"affirmation",300
"116",1,"affirmative",0
"117",1,"afflict",0
"118",1,"affliction",0
"119",1,"afflictive",0
"120",1,"affluence",0
"121",1,"affluent",0
"122",1,"afford",100
"123",1,"affordable",0
"124",1,"affordably",0
"125",1,"affront",0
"126",1,"afraid",2500
"127",1,"aggravate",0
"128",1,"aggravating",0
"129",1,"aggravation",0
"130",1,"aggression",100
"131",1,"aggressive",400
"132",1,"aggressiveness",0
"133",1,"aggressor",0
"134",1,"aggrieved",0
"135",1,"aghast",0
"136",1,"agile",0
"137",1,"agilely",0
"138",1,"agility",0
"139",1,"agonies",0
"140",1,"agonize",0
"141",1,"agonizing",0
"142",1,"agony",0
"143",1,"agreeable",0
"144",1,"agreeableness",0
"145",1,"agreeably",0
"146",1,"aground",0
"147",1,"ail",0
"148",1,"ailing",0
"149",1,"ailment",0
"150",1,"aimless",0
"151",1,"alarm",4600
"152",1,"alarmed",200
"153",1,"alarming",800
"154",1,"alarmingly",0
"155",1,"alienate",0
"156",1,"alienated",0
"157",1,"alienation",0
"158",1,"allegation",0
"159",1,"allegations",400
"160",1,"allege",0
"161",1,"allergic",100
"162",1,"allergies",100
"163",1,"allergy",300
"164",1,"alluring",0
"165",1,"aloof",0
"166",1,"altercation",0
"167",1,"altruistic",0
"168",1,"altruistically",0
"169",1,"amaze",0
"170",1,"amazed",0
"171",1,"amazement",100
"172",1,"amazes",0
"173",1,"amazing",0
"174",1,"amazingly",0
"175",1,"ambiguity",0
"176",1,"ambiguous",0
"177",1,"ambitious",100
"178",1,"ambitiously",0
"179",1,"ambivalence",0
"180",1,"ambivalent",0
"181",1,"ambush",0
"182",1,"ameliorate",0
"183",1,"amenable",0
"184",1,"amenity",0
"185",1,"amiability",0
"186",1,"amiable",0
"187",1,"amicable",0
"188",1,"amicably",0
"189",1,"amiss",0
"190",1,"amity",0
"191",1,"ample",0
"192",1,"amply",0
"193",1,"amputate",0
"194",1,"amuse",0
"195",1,"amusing",0
"196",1,"amusingly",0
"197",1,"anarchism",0
"198",1,"anarchist",0
"199",1,"anarchy",0
"200",1,"anemic",0
"201",1,"angel",200
"202",1,"angelic",0
"203",1,"anger",1400
"204",1,"angrily",100
"205",1,"angry",400
"206",1,"anguish",100
"207",1,"animosity",0
"208",1,"annihilate",0
"209",1,"annihilation",0
"210",1,"annoy",0
"211",1,"annoyance",0
"212",1,"annoyances",0
"213",1,"annoyed",100
"214",1,"annoying",200
"215",1,"annoyingly",0
"216",1,"annoys",0
"217",1,"anomalous",0
"218",1,"anomaly",0
"219",1,"antagonism",100
"220",1,"antagonist",0
"221",1,"antagonistic",0
"222",1,"antagonize",0
"223",1,"antipathy",0
"224",1,"antiquated",0
"225",1,"antithetical",0
"226",1,"anxieties",100
"227",1,"anxiety",700
"228",1,"anxious",600
"229",1,"anxiously",0
"230",1,"anxiousness",0
"231",1,"apathetic",0
"232",1,"apathetically",0
"233",1,"apathy",0
"234",1,"apocalypse",100
"235",1,"apocalyptic",200
"236",1,"apologist",0
"237",1,"apologists",0
"238",1,"apotheosis",0
"239",1,"appalled",0
"240",1,"appalling",0
"241",1,"appallingly",0
"242",1,"appeal",1000
"243",1,"appealing",0
"244",1,"applaud",0
"245",1,"appreciable",0
"246",1,"appreciate",300
"247",1,"appreciated",100
"248",1,"appreciates",100
"249",1,"appreciative",0
"250",1,"appreciatively",0
"251",1,"apprehension",400
"252",1,"apprehensions",0
"253",1,"apprehensive",0
"254",1,"appropriate",900
"255",1,"approval",700
"256",1,"approve",200
"257",1,"arbitrary",100
"258",1,"arcane",0
"259",1,"archaic",0
"260",1,"ardent",0
"261",1,"ardently",0
"262",1,"ardor",0
"263",1,"arduous",0
"264",1,"argumentative",0
"265",1,"arrogance",0
"266",1,"arrogant",0
"267",1,"arrogantly",0
"268",1,"articulate",0
"269",1,"ashamed",100
"270",1,"asinine",0
"271",1,"askance",0
"272",1,"aspersions",0
"273",1,"aspiration",0
"274",1,"aspirations",0
"275",1,"aspire",0
"276",1,"assail",0
"277",1,"assassin",0
"278",1,"assassinate",0
"279",1,"assault",200
"280",1,"assurance",0
"281",1,"assurances",0
"282",1,"assure",300
"283",1,"assuredly",0
"284",1,"assuring",100
"285",1,"astonish",0
"286",1,"astonished",0
"287",1,"astonishing",0
"288",1,"astonishingly",0
"289",1,"astonishment",0
